date,number
13-Dec-2007,60
20-Dec-2007,61
27-Dec-2007,61
4-Jan-2008,62
11-Jan-2008,63
19-Jan-2008,64
26-Jan-2008,66
3-Feb-2008,67
10-Feb-2008,68
17-Feb-2008,69
25-Feb-2008,70
3-Mar-2008,74
11-Mar-2008,76
18-Mar-2008,77
26-Mar-2008,79
2-Apr-2008,84
9-Apr-2008,85
17-Apr-2008,87
24-Apr-2008,89
2-May-2008,92
9-May-2008,94
16-May-2008,95
24-May-2008,95
31-May-2008,98
8-Jun-2008,99
15-Jun-2008,102
23-Jun-2008,102
30-Jun-2008,106
7-Jul-2008,108
15-Jul-2008,110
22-Jul-2008,113
30-Jul-2008,113
6-Aug-2008,118
14-Aug-2008,125
21-Aug-2008,131
28-Aug-2008,136
5-Sep-2008,141
12-Sep-2008,151
20-Sep-2008,156
27-Sep-2008,159
4-Oct-2008,161
12-Oct-2008,165
19-Oct-2008,167
27-Oct-2008,170
3-Nov-2008,175
11-Nov-2008,184
18-Nov-2008,190
25-Nov-2008,194
3-Dec-2008,197
10-Dec-2008,202
18-Dec-2008,205
25-Dec-2008,209
2-Jan-2009,212
9-Jan-2009,221
16-Jan-2009,225
24-Jan-2009,227
31-Jan-2009,229
8-Feb-2009,235
15-Feb-2009,238
22-Feb-2009,242
2-Mar-2009,247
9-Mar-2009,250
17-Mar-2009,256
24-Mar-2009,258
1-Apr-2009,264
8-Apr-2009,266
15-Apr-2009,271
23-Apr-2009,275
30-Apr-2009,280
8-May-2009,281
15-May-2009,284
23-May-2009,292
30-May-2009,295
6-Jun-2009,296
14-Jun-2009,304
21-Jun-2009,307
29-Jun-2009,309
6-Jul-2009,313
13-Jul-2009,314
21-Jul-2009,317
28-Jul-2009,319
5-Aug-2009,324
12-Aug-2009,329
20-Aug-2009,331
27-Aug-2009,333
3-Sep-2009,337
11-Sep-2009,339
18-Sep-2009,340
26-Sep-2009,341
3-Oct-2009,345
11-Oct-2009,348
18-Oct-2009,350
25-Oct-2009,353
2-Nov-2009,358
9-Nov-2009,362
17-Nov-2009,365
24-Nov-2009,367
1-Dec-2009,370
9-Dec-2009,377
16-Dec-2009,386
24-Dec-2009,397
31-Dec-2009,400
8-Jan-2010,407
15-Jan-2010,416
22-Jan-2010,418
30-Jan-2010,426
6-Feb-2010,431
14-Feb-2010,435
21-Feb-2010,439
1-Mar-2010,448
8-Mar-2010,455
15-Mar-2010,458
23-Mar-2010,460
30-Mar-2010,461
7-Apr-2010,464
14-Apr-2010,468
21-Apr-2010,476
29-Apr-2010,483
6-May-2010,489
14-May-2010,491
21-May-2010,494
29-May-2010,500
5-Jun-2010,503
12-Jun-2010,505
20-Jun-2010,511
27-Jun-2010,514
5-Jul-2010,519
12-Jul-2010,529
19-Jul-2010,534
27-Jul-2010,537
3-Aug-2010,541
11-Aug-2010,546
18-Aug-2010,551
26-Aug-2010,554
2-Sep-2010,555
9-Sep-2010,555
17-Sep-2010,558
24-Sep-2010,560
2-Oct-2010,566
9-Oct-2010,569
17-Oct-2010,576
24-Oct-2010,584
31-Oct-2010,589
8-Nov-2010,600
15-Nov-2010,606
23-Nov-2010,619
30-Nov-2010,629
7-Dec-2010,644
15-Dec-2010,653
22-Dec-2010,665
30-Dec-2010,673
6-Jan-2011,676
14-Jan-2011,690
21-Jan-2011,697
28-Jan-2011,712
5-Feb-2011,722
12-Feb-2011,727
20-Feb-2011,735
27-Feb-2011,738
7-Mar-2011,744
14-Mar-2011,755
21-Mar-2011,764
29-Mar-2011,776
5-Apr-2011,791
13-Apr-2011,803
20-Apr-2011,813
27-Apr-2011,818
5-May-2011,827
12-May-2011,835
20-May-2011,842
27-May-2011,856
4-Jun-2011,863
11-Jun-2011,871
18-Jun-2011,877
26-Jun-2011,883
3-Jul-2011,892
11-Jul-2011,904
18-Jul-2011,914
26-Jul-2011,930
2-Aug-2011,959
9-Aug-2011,972
17-Aug-2011,988
24-Aug-2011,997
1-Sep-2011,1024
8-Sep-2011,1029
15-Sep-2011,1049
23-Sep-2011,1079
30-Sep-2011,1095
8-Oct-2011,1138
15-Oct-2011,1174
23-Oct-2011,1204
30-Oct-2011,1230
6-Nov-2011,1245
14-Nov-2011,1277
21-Nov-2011,1305
29-Nov-2011,1358
6-Dec-2011,1403
14-Dec-2011,1464
21-Dec-2011,1525
28-Dec-2011,1558
5-Jan-2012,1607
12-Jan-2012,1661
20-Jan-2012,1722
27-Jan-2012,1762
3-Feb-2012,1800
11-Feb-2012,1830
18-Feb-2012,1854
26-Feb-2012,1873
4-Mar-2012,1909
12-Mar-2012,1933
19-Mar-2012,1956
26-Mar-2012,1978
3-Apr-2012,2049
10-Apr-2012,2074
18-Apr-2012,2129
25-Apr-2012,2167
3-May-2012,2236
10-May-2012,2303
17-May-2012,2372
25-May-2012,2424
1-Jun-2012,2473
9-Jun-2012,2546
16-Jun-2012,2584
23-Jun-2012,2669
1-Jul-2012,2773
8-Jul-2012,2814
16-Jul-2012,2902
23-Jul-2012,2957
31-Jul-2012,3043
7-Aug-2012,3139
14-Aug-2012,3216
22-Aug-2012,3305
29-Aug-2012,3366
6-Sep-2012,3433
13-Sep-2012,3493
21-Sep-2012,3577
28-Sep-2012,3642
5-Oct-2012,3709
13-Oct-2012,3780
20-Oct-2012,3876
28-Oct-2012,3995
4-Nov-2012,4156
11-Nov-2012,4307
19-Nov-2012,4506
26-Nov-2012,4679
4-Dec-2012,5030
11-Dec-2012,5334
19-Dec-2012,5771
26-Dec-2012,6045
2-Jan-2013,6589
10-Jan-2013,6928
17-Jan-2013,7114
25-Jan-2013,7351
1-Feb-2013,7711
9-Feb-2013,7914
16-Feb-2013,8150
23-Feb-2013,8355
3-Mar-2013,8649
10-Mar-2013,8850
18-Mar-2013,9119
25-Mar-2013,9332
1-Apr-2013,9506
9-Apr-2013,9788
16-Apr-2013,9998
24-Apr-2013,10328
1-May-2013,10639
9-May-2013,10928
16-May-2013,11151
23-May-2013,11383
31-May-2013,11660
7-Jun-2013,11949
15-Jun-2013,12126
22-Jun-2013,12388
30-Jun-2013,12597
7-Jul-2013,12847
14-Jul-2013,13104
22-Jul-2013,13452
29-Jul-2013,13758
6-Aug-2013,14187
13-Aug-2013,14407
20-Aug-2013,14639
28-Aug-2013,14923
4-Sep-2013,15146
12-Sep-2013,15421
19-Sep-2013,15592
27-Sep-2013,15891
4-Oct-2013,16154
11-Oct-2013,16363
19-Oct-2013,16620
26-Oct-2013,16887
3-Nov-2013,17201
10-Nov-2013,17357
18-Nov-2013,17521
25-Nov-2013,17754
2-Dec-2013,17924
10-Dec-2013,18217
17-Dec-2013,18406
25-Dec-2013,18613
1-Jan-2014,18845
8-Jan-2014,19133
16-Jan-2014,19385
23-Jan-2014,19618
31-Jan-2014,19889
7-Feb-2014,20054
15-Feb-2014,20199
22-Feb-2014,20350
1-Mar-2014,20538
9-Mar-2014,20703
16-Mar-2014,20838
24-Mar-2014,20980
31-Mar-2014,21117
8-Apr-2014,21261
15-Apr-2014,21366
22-Apr-2014,21448
30-Apr-2014,21631
7-May-2014,21751
15-May-2014,21872
22-May-2014,21981
29-May-2014,22094
6-Jun-2014,22216
13-Jun-2014,22308
21-Jun-2014,22451
28-Jun-2014,22604
6-Jul-2014,22713
13-Jul-2014,22816
20-Jul-2014,22935
28-Jul-2014,23037
4-Aug-2014,23192
12-Aug-2014,23268
19-Aug-2014,23336
27-Aug-2014,23454
3-Sep-2014,23535
10-Sep-2014,23614
18-Sep-2014,23708
25-Sep-2014,23806
3-Oct-2014,23925
10-Oct-2014,23997
17-Oct-2014,24066
25-Oct-2014,24115
1-Nov-2014,24208
9-Nov-2014,24276
16-Nov-2014,24351
24-Nov-2014,24492
1-Dec-2014,24585
8-Dec-2014,24691
16-Dec-2014,24850
23-Dec-2014,25013
31-Dec-2014,25143
7-Jan-2015,25264
15-Jan-2015,25367
22-Jan-2015,25450
29-Jan-2015,25547
6-Feb-2015,25665
13-Feb-2015,25726
21-Feb-2015,25800
28-Feb-2015,25916
7-Mar-2015,26002
15-Mar-2015,26081
22-Mar-2015,26178
30-Mar-2015,26239
6-Apr-2015,26321
14-Apr-2015,26461
21-Apr-2015,26604
28-Apr-2015,26759
6-May-2015,26942
13-May-2015,27096
21-May-2015,27249
28-May-2015,27354
5-Jun-2015,27444
